"","date","code","site","no","no2","nox","pm10","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"BR11","Bristol Temple Way",0.49892,2.10375,2.86875,5.797,3.2,238.8,51.457968,-2.583975,"Urban Traffic"
"5546",2019-08-20 01:00:00,"BR11","Bristol Temple Way",0,2.48625,2.48625,7.73,3.5,236,51.457968,-2.583975,"Urban Traffic"
"5547",2019-08-20 02:00:00,"BR11","Bristol Temple Way",0.24946,7.2675,7.65,5.797,3.3,240.6,51.457968,-2.583975,"Urban Traffic"
"5548",2019-08-20 03:00:00,"BR11","Bristol Temple Way",1.87095,15.3,18.16875,11.594,2.7,233.9,51.457968,-2.583975,"Urban Traffic"
"5549",2019-08-20 04:00:00,"BR11","Bristol Temple Way",2.36987,19.125,22.75875,13.527,2.3,237.7,51.457968,-2.583975,"Urban Traffic"
"5550",2019-08-20 05:00:00,"BR11","Bristol Temple Way",10.10313,33.66,49.15125,18.358,2.6,246.5,51.457968,-2.583975,"Urban Traffic"
"5551",2019-08-20 06:00:00,"BR11","Bristol Temple Way",18.58477,40.545,69.04125,20.29,2.5,252.4,51.457968,-2.583975,"Urban Traffic"
"5552",2019-08-20 07:00:00,"BR11","Bristol Temple Way",11.59989,27.54,45.32625,19.324,2.3,249,51.457968,-2.583975,"Urban Traffic"
"5553",2019-08-20 08:00:00,"BR11","Bristol Temple Way",9.10529,18.36,32.32125,20.29,2,267,51.457968,-2.583975,"Urban Traffic"
"5554",2019-08-20 09:00:00,"BR11","Bristol Temple Way",8.48164,16.63875,29.64375,12.561,2.8,289.6,51.457968,-2.583975,"Urban Traffic"
"5555",2019-08-20 10:00:00,"BR11","Bristol Temple Way",8.35691,17.02125,29.835,19.324,3.2,284.2,51.457968,-2.583975,"Urban Traffic"
"5556",2019-08-20 11:00:00,"BR11","Bristol Temple Way",5.48812,11.8575,20.2725,16.425,3.6,280.8,51.457968,-2.583975,"Urban Traffic"
"5557",2019-08-20 12:00:00,"BR11","Bristol Temple Way",6.36123,14.34375,24.0975,20.29,3.7,271,51.457968,-2.583975,"Urban Traffic"
"5558",2019-08-20 13:00:00,"BR11","Bristol Temple Way",6.48596,13.3875,23.3325,16.425,3.9,260.4,51.457968,-2.583975,"Urban Traffic"
"5559",2019-08-20 14:00:00,"BR11","Bristol Temple Way",8.98056,18.16875,31.93875,23.189,4.4,264,51.457968,-2.583975,"Urban Traffic"
"5560",2019-08-20 15:00:00,"BR11","Bristol Temple Way",6.11177,15.10875,24.48,23.189,4.3,265.9,51.457968,-2.583975,"Urban Traffic"
"5561",2019-08-20 16:00:00,"BR11","Bristol Temple Way",5.98704,14.9175,24.0975,20.29,4,272.9,51.457968,-2.583975,"Urban Traffic"
"5562",2019-08-20 17:00:00,"BR11","Bristol Temple Way",3.99136,15.49125,21.61125,21.256,2.1,275.3,51.457968,-2.583975,"Urban Traffic"
"5563",2019-08-20 18:00:00,"BR11","Bristol Temple Way",3.24298,19.125,24.0975,20.29,1.8,233.9,51.457968,-2.583975,"Urban Traffic"
"5564",2019-08-20 19:00:00,"BR11","Bristol Temple Way",1.62149,10.90125,13.3875,13.527,2.6,205.3,51.457968,-2.583975,"Urban Traffic"
"5565",2019-08-20 20:00:00,"BR11","Bristol Temple Way",1.37203,9.18,11.28375,11.594,2.4,204.2,51.457968,-2.583975,"Urban Traffic"
"5566",2019-08-20 21:00:00,"BR11","Bristol Temple Way",1.49676,15.3,17.595,11.594,3.1,217.2,51.457968,-2.583975,"Urban Traffic"
"5567",2019-08-20 22:00:00,"BR11","Bristol Temple Way",33.6771,43.605,95.2425,10.628,3.4,224,51.457968,-2.583975,"Urban Traffic"
"5568",2019-08-20 23:00:00,"BR11","Bristol Temple Way",4.24082,15.3,21.8025,15.459,3.3,229.2,51.457968,-2.583975,"Urban Traffic"
