"","date","code","site","no","no2","o3","pm10","nox","nv10","v10","pm2.5","nv2.5","v2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,238.8,51.462839,-2.584482,"Urban Background"
"5546",2019-08-20 01:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,236,51.462839,-2.584482,"Urban Background"
"5547",2019-08-20 02:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,240.6,51.462839,-2.584482,"Urban Background"
"5548",2019-08-20 03:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,233.9,51.462839,-2.584482,"Urban Background"
"5549",2019-08-20 04:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,237.7,51.462839,-2.584482,"Urban Background"
"5550",2019-08-20 05:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,246.5,51.462839,-2.584482,"Urban Background"
"5551",2019-08-20 06:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,252.4,51.462839,-2.584482,"Urban Background"
"5552",2019-08-20 07:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,249,51.462839,-2.584482,"Urban Background"
"5553",2019-08-20 08:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,267,51.462839,-2.584482,"Urban Background"
"5554",2019-08-20 09:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,289.6,51.462839,-2.584482,"Urban Background"
"5555",2019-08-20 10:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,284.2,51.462839,-2.584482,"Urban Background"
"5556",2019-08-20 11:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,280.8,51.462839,-2.584482,"Urban Background"
"5557",2019-08-20 12:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,271,51.462839,-2.584482,"Urban Background"
"5558",2019-08-20 13:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,260.4,51.462839,-2.584482,"Urban Background"
"5559",2019-08-20 14:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,264,51.462839,-2.584482,"Urban Background"
"5560",2019-08-20 15:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,265.9,51.462839,-2.584482,"Urban Background"
"5561",2019-08-20 16:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,272.9,51.462839,-2.584482,"Urban Background"
"5562",2019-08-20 17:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,275.3,51.462839,-2.584482,"Urban Background"
"5563",2019-08-20 18:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,233.9,51.462839,-2.584482,"Urban Background"
"5564",2019-08-20 19:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,205.3,51.462839,-2.584482,"Urban Background"
"5565",2019-08-20 20:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,204.2,51.462839,-2.584482,"Urban Background"
"5566",2019-08-20 21:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,217.2,51.462839,-2.584482,"Urban Background"
"5567",2019-08-20 22:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,224,51.462839,-2.584482,"Urban Background"
"5568",2019-08-20 23:00:00,"BRS8","Bristol St Paul's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,229.2,51.462839,-2.584482,"Urban Background"
