"","date","code","site","no2","nox","no","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"HG1","Haringey Roadside",21.8025,30.9825,5.98704,2.5,249.4,51.5993,-0.068218,"Urban Traffic"
"5546",2019-08-20 01:00:00,"HG1","Haringey Roadside",33.46875,44.7525,7.35907,2.7,242.9,51.5993,-0.068218,"Urban Traffic"
"5547",2019-08-20 02:00:00,"HG1","Haringey Roadside",29.64375,38.05875,5.48812,2.5,249.3,51.5993,-0.068218,"Urban Traffic"
"5548",2019-08-20 03:00:00,"HG1","Haringey Roadside",35.5725,49.15125,8.85583,2.5,251.2,51.5993,-0.068218,"Urban Traffic"
"5549",2019-08-20 04:00:00,"HG1","Haringey Roadside",NA,NA,NA,2.4,251.5,51.5993,-0.068218,"Urban Traffic"
"5550",2019-08-20 05:00:00,"HG1","Haringey Roadside",55.08,107.1,33.92656,2.9,261.4,51.5993,-0.068218,"Urban Traffic"
"5551",2019-08-20 06:00:00,"HG1","Haringey Roadside",49.15125,97.72875,31.68142,2.6,266,51.5993,-0.068218,"Urban Traffic"
"5552",2019-08-20 07:00:00,"HG1","Haringey Roadside",41.6925,81.28125,25.81911,2.7,265.8,51.5993,-0.068218,"Urban Traffic"
"5553",2019-08-20 08:00:00,"HG1","Haringey Roadside",29.07,54.50625,16.58909,2.8,264,51.5993,-0.068218,"Urban Traffic"
"5554",2019-08-20 09:00:00,"HG1","Haringey Roadside",27.34875,56.61,19.08369,3.7,272.2,51.5993,-0.068218,"Urban Traffic"
"5555",2019-08-20 10:00:00,"HG1","Haringey Roadside",20.08125,40.9275,13.59557,4.3,282.9,51.5993,-0.068218,"Urban Traffic"
"5556",2019-08-20 11:00:00,"HG1","Haringey Roadside",15.87375,29.26125,8.7311,4,287.8,51.5993,-0.068218,"Urban Traffic"
"5557",2019-08-20 12:00:00,"HG1","Haringey Roadside",18.16875,30.9825,8.35691,4,288.2,51.5993,-0.068218,"Urban Traffic"
"5558",2019-08-20 13:00:00,"HG1","Haringey Roadside",15.49125,24.28875,5.73758,3.9,285.4,51.5993,-0.068218,"Urban Traffic"
"5559",2019-08-20 14:00:00,"HG1","Haringey Roadside",NA,NA,NA,3.7,282.5,51.5993,-0.068218,"Urban Traffic"
"5560",2019-08-20 15:00:00,"HG1","Haringey Roadside",19.69875,29.64375,6.48596,3.4,279.7,51.5993,-0.068218,"Urban Traffic"
"5561",2019-08-20 16:00:00,"HG1","Haringey Roadside",15.10875,22.75875,4.9892,3.2,281,51.5993,-0.068218,"Urban Traffic"
"5562",2019-08-20 17:00:00,"HG1","Haringey Roadside",20.84625,30.02625,5.98704,2.4,282.3,51.5993,-0.068218,"Urban Traffic"
"5563",2019-08-20 18:00:00,"HG1","Haringey Roadside",18.7425,22.75875,2.61933,2,265,51.5993,-0.068218,"Urban Traffic"
"5564",2019-08-20 19:00:00,"HG1","Haringey Roadside",38.44125,42.075,2.36987,2,257.6,51.5993,-0.068218,"Urban Traffic"
"5565",2019-08-20 20:00:00,"HG1","Haringey Roadside",61.00875,63.68625,1.74622,2.3,270.2,51.5993,-0.068218,"Urban Traffic"
"5566",2019-08-20 21:00:00,"HG1","Haringey Roadside",72.675,78.03,3.49244,2.1,268.3,51.5993,-0.068218,"Urban Traffic"
"5567",2019-08-20 22:00:00,"HG1","Haringey Roadside",69.42375,86.63625,11.2257,2,256.5,51.5993,-0.068218,"Urban Traffic"
"5568",2019-08-20 23:00:00,"HG1","Haringey Roadside",61.00875,70.38,6.11177,1.8,229.1,51.5993,-0.068218,"Urban Traffic"
