"","date","code","site","no","no2","nox","o3","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"HG4","London Haringey Priory Park South",0.37419,11.0925,11.66625,57.27659,2.5,249.4,51.584128,-0.125254,"Urban Background"
"5546",2019-08-20 01:00:00,"HG4","London Haringey Priory Park South",0.37419,13.19625,13.77,49.49336,2.7,242.9,51.584128,-0.125254,"Urban Background"
"5547",2019-08-20 02:00:00,"HG4","London Haringey Priory Park South",0.37419,17.02125,17.595,38.71658,2.5,249.3,51.584128,-0.125254,"Urban Background"
"5548",2019-08-20 03:00:00,"HG4","London Haringey Priory Park South",0,16.63875,16.63875,38.11787,2.5,251.2,51.584128,-0.125254,"Urban Background"
"5549",2019-08-20 04:00:00,"HG4","London Haringey Priory Park South",NA,NA,NA,NA,2.4,251.5,51.584128,-0.125254,"Urban Background"
"5550",2019-08-20 05:00:00,"HG4","London Haringey Priory Park South",1.74622,20.655,23.3325,34.52561,2.9,261.4,51.584128,-0.125254,"Urban Background"
"5551",2019-08-20 06:00:00,"HG4","London Haringey Priory Park South",5.61285,28.305,36.91125,25.9441,2.6,266,51.584128,-0.125254,"Urban Background"
"5552",2019-08-20 07:00:00,"HG4","London Haringey Priory Park South",7.10961,24.8625,35.76375,32.92905,2.7,265.8,51.584128,-0.125254,"Urban Background"
"5553",2019-08-20 08:00:00,"HG4","London Haringey Priory Park South",3.24298,14.535,19.5075,43.70583,2.8,264,51.584128,-0.125254,"Urban Background"
"5554",2019-08-20 09:00:00,"HG4","London Haringey Priory Park South",1.49676,8.415,10.71,56.87745,3.7,272.2,51.584128,-0.125254,"Urban Background"
"5555",2019-08-20 10:00:00,"HG4","London Haringey Priory Park South",1.62149,7.84125,10.3275,65.05982,4.3,282.9,51.584128,-0.125254,"Urban Background"
"5556",2019-08-20 11:00:00,"HG4","London Haringey Priory Park South",0.99784,8.7975,10.3275,72.64348,4,287.8,51.584128,-0.125254,"Urban Background"
"5557",2019-08-20 12:00:00,"HG4","London Haringey Priory Park South",0.87311,6.31125,7.65,77.23359,4,288.2,51.584128,-0.125254,"Urban Background"
"5558",2019-08-20 13:00:00,"HG4","London Haringey Priory Park South",0.12473,5.355,5.54625,81.8237,3.9,285.4,51.584128,-0.125254,"Urban Background"
"5559",2019-08-20 14:00:00,"HG4","London Haringey Priory Park South",NA,NA,NA,NA,3.7,282.5,51.584128,-0.125254,"Urban Background"
"5560",2019-08-20 15:00:00,"HG4","London Haringey Priory Park South",0.37419,4.59,5.16375,89.8065,3.4,279.7,51.584128,-0.125254,"Urban Background"
"5561",2019-08-20 16:00:00,"HG4","London Haringey Priory Park South",0.37419,5.355,5.92875,89.00822,3.2,281,51.584128,-0.125254,"Urban Background"
"5562",2019-08-20 17:00:00,"HG4","London Haringey Priory Park South",0.12473,5.92875,6.12,86.81295,2.4,282.3,51.584128,-0.125254,"Urban Background"
"5563",2019-08-20 18:00:00,"HG4","London Haringey Priory Park South",NA,10.71,NA,78.23144,2,265,51.584128,-0.125254,"Urban Background"
"5564",2019-08-20 19:00:00,"HG4","London Haringey Priory Park South",0.12473,17.9775,18.16875,61.66713,2,257.6,51.584128,-0.125254,"Urban Background"
"5565",2019-08-20 20:00:00,"HG4","London Haringey Priory Park South",0.99784,30.02625,31.55625,32.92905,2.3,270.2,51.584128,-0.125254,"Urban Background"
"5566",2019-08-20 21:00:00,"HG4","London Haringey Priory Park South",0.74838,34.61625,35.76375,26.94195,2.1,268.3,51.584128,-0.125254,"Urban Background"
"5567",2019-08-20 22:00:00,"HG4","London Haringey Priory Park South",0.87311,31.365,32.70375,38.91615,2,256.5,51.584128,-0.125254,"Urban Background"
"5568",2019-08-20 23:00:00,"HG4","London Haringey Priory Park South",0.74838,34.425,35.5725,33.52776,1.8,229.1,51.584128,-0.125254,"Urban Background"
