"","date","code","site","no2","o3","pm10","no","nox","pm2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"HRL","London Harlington",10.0725,49.69293,11.578,4.57343,17.085,5.762,3.2,244.1,51.48879,-0.441614,"Urban Industrial"
"5546",2019-08-20 01:00:00,"HRL","London Harlington",17.40375,37.12002,11.475,5.07235,25.18125,5.988,3.3,241.7,51.48879,-0.441614,"Urban Industrial"
"5547",2019-08-20 02:00:00,"HRL","London Harlington",18.50344,34.5755,11.92,4.67738,25.67531,6.106,3.2,249,51.48879,-0.441614,"Urban Industrial"
"5548",2019-08-20 03:00:00,"HRL","London Harlington",15.49125,38.76647,11.725,4.67738,22.66313,6.002,3,251.6,51.48879,-0.441614,"Urban Industrial"
"5549",2019-08-20 04:00:00,"HRL","London Harlington",30.9825,18.75958,10.722,5.45694,39.34969,6.105,2.9,254.6,51.48879,-0.441614,"Urban Industrial"
"5550",2019-08-20 05:00:00,"HRL","London Harlington",39.06281,14.11958,12.208,10.53969,55.22344,6.35,3.3,272.4,51.48879,-0.441614,"Urban Industrial"
"5551",2019-08-20 06:00:00,"HRL","London Harlington",23.04563,30.73378,14.158,8.10745,35.47688,7.89,3.2,265.2,51.48879,-0.441614,"Urban Industrial"
"5552",2019-08-20 07:00:00,"HRL","London Harlington",13.77,41.41078,11.303,7.98272,26.01,5.994,3,257.4,51.48879,-0.441614,"Urban Industrial"
"5553",2019-08-20 08:00:00,"HRL","London Harlington",13.62656,42.30884,13.593,10.38377,29.54813,5.813,2.9,258.3,51.48879,-0.441614,"Urban Industrial"
"5554",2019-08-20 09:00:00,"HRL","London Harlington",7.21969,54.83186,10.527,7.54617,18.79031,4.716,3.5,275.3,51.48879,-0.441614,"Urban Industrial"
"5555",2019-08-20 10:00:00,"HRL","London Harlington",8.22375,62.06627,11.128,6.86015,18.7425,4.92,4.5,283.6,51.48879,-0.441614,"Urban Industrial"
"5556",2019-08-20 11:00:00,"HRL","London Harlington",6.21563,70.19875,10.78,5.98704,15.39563,4.743,4.7,285.2,51.48879,-0.441614,"Urban Industrial"
"5557",2019-08-20 12:00:00,"HRL","London Harlington",7.02844,71.54585,11.053,7.4838,18.50344,5.297,4.7,291.2,51.48879,-0.441614,"Urban Industrial"
"5558",2019-08-20 13:00:00,"HRL","London Harlington",7.50656,77.03402,10.413,6.48596,17.45156,4.718,4.5,291.4,51.48879,-0.441614,"Urban Industrial"
"5559",2019-08-20 14:00:00,"HRL","London Harlington",7.21969,81.97338,9.547,6.2365,16.78219,4.537,4.2,285.6,51.48879,-0.441614,"Urban Industrial"
"5560",2019-08-20 15:00:00,"HRL","London Harlington",12.57469,79.47875,9.486,6.9537,23.23688,4.823,4.5,287.9,51.48879,-0.441614,"Urban Industrial"
"5561",2019-08-20 16:00:00,"HRL","London Harlington",11.475,76.4852,11.534,6.54833,21.51563,5.292,4.1,290.6,51.48879,-0.441614,"Urban Industrial"
"5562",2019-08-20 17:00:00,"HRL","London Harlington",13.72219,73.09251,12.05,6.01822,22.95,5.552,2.8,285.2,51.48879,-0.441614,"Urban Industrial"
"5563",2019-08-20 18:00:00,"HRL","London Harlington",29.21344,55.28089,16.985,7.32789,40.44938,6.382,2.2,268,51.48879,-0.441614,"Urban Industrial"
"5564",2019-08-20 19:00:00,"HRL","London Harlington",44.89594,37.2697,21.913,6.61069,55.03219,7.784,2.8,262,51.48879,-0.441614,"Urban Industrial"
"5565",2019-08-20 20:00:00,"HRL","London Harlington",34.95094,41.41078,17.483,5.08275,42.74438,8.352,2.6,266.3,51.48879,-0.441614,"Urban Industrial"
"5566",2019-08-20 21:00:00,"HRL","London Harlington",34.32938,38.01809,17.488,5.1763,42.26625,9.319,2.6,259,51.48879,-0.441614,"Urban Industrial"
"5567",2019-08-20 22:00:00,"HRL","London Harlington",21.85031,42.75787,14.32,4.70856,29.07,8.41,2.8,246.2,51.48879,-0.441614,"Urban Industrial"
"5568",2019-08-20 23:00:00,"HRL","London Harlington",37.58063,25.79442,13.11,6.04941,46.85625,7.859,2.4,237.7,51.48879,-0.441614,"Urban Industrial"
