"","date","code","site","no","no2","nox","pm10","nv10","v10","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.6,247.1,51.480499,-0.05955,"Urban Traffic"
"5546",2019-08-20 01:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.8,240.9,51.480499,-0.05955,"Urban Traffic"
"5547",2019-08-20 02:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.7,245.3,51.480499,-0.05955,"Urban Traffic"
"5548",2019-08-20 03:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.7,247.9,51.480499,-0.05955,"Urban Traffic"
"5549",2019-08-20 04:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.5,249.3,51.480499,-0.05955,"Urban Traffic"
"5550",2019-08-20 05:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.1,259,51.480499,-0.05955,"Urban Traffic"
"5551",2019-08-20 06:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.9,265.5,51.480499,-0.05955,"Urban Traffic"
"5552",2019-08-20 07:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.1,272.6,51.480499,-0.05955,"Urban Traffic"
"5553",2019-08-20 08:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.3,274.1,51.480499,-0.05955,"Urban Traffic"
"5554",2019-08-20 09:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.9,275.1,51.480499,-0.05955,"Urban Traffic"
"5555",2019-08-20 10:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,4.4,280.9,51.480499,-0.05955,"Urban Traffic"
"5556",2019-08-20 11:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,4.3,290.4,51.480499,-0.05955,"Urban Traffic"
"5557",2019-08-20 12:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,4.1,287,51.480499,-0.05955,"Urban Traffic"
"5558",2019-08-20 13:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.9,284.6,51.480499,-0.05955,"Urban Traffic"
"5559",2019-08-20 14:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,4,285.9,51.480499,-0.05955,"Urban Traffic"
"5560",2019-08-20 15:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.7,283.8,51.480499,-0.05955,"Urban Traffic"
"5561",2019-08-20 16:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,3.5,285.1,51.480499,-0.05955,"Urban Traffic"
"5562",2019-08-20 17:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.6,285.6,51.480499,-0.05955,"Urban Traffic"
"5563",2019-08-20 18:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.3,268.4,51.480499,-0.05955,"Urban Traffic"
"5564",2019-08-20 19:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.4,259.4,51.480499,-0.05955,"Urban Traffic"
"5565",2019-08-20 20:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.4,259.2,51.480499,-0.05955,"Urban Traffic"
"5566",2019-08-20 21:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.2,249.2,51.480499,-0.05955,"Urban Traffic"
"5567",2019-08-20 22:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.2,244.4,51.480499,-0.05955,"Urban Traffic"
"5568",2019-08-20 23:00:00,"SK5","Southwark A2 Old Kent Road",NA,NA,NA,NA,NA,NA,2.2,229.7,51.480499,-0.05955,"Urban Traffic"
