"","date","code","site","no2","nox","no","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"TH2","Tower Hamlets Roadside",16.63875,23.14125,4.24082,2.6,247.1,51.52253,-0.042155,"Urban Traffic"
"5546",2019-08-20 01:00:00,"TH2","Tower Hamlets Roadside",12.43125,15.6825,2.12041,2.8,240.9,51.52253,-0.042155,"Urban Traffic"
"5547",2019-08-20 02:00:00,"TH2","Tower Hamlets Roadside",11.475,16.63875,3.36771,2.7,245.3,51.52253,-0.042155,"Urban Traffic"
"5548",2019-08-20 03:00:00,"TH2","Tower Hamlets Roadside",8.98875,12.43125,2.24514,2.7,247.9,51.52253,-0.042155,"Urban Traffic"
"5549",2019-08-20 04:00:00,"TH2","Tower Hamlets Roadside",NA,NA,NA,2.5,249.3,51.52253,-0.042155,"Urban Traffic"
"5550",2019-08-20 05:00:00,"TH2","Tower Hamlets Roadside",12.43125,25.43625,8.48164,3.1,259,51.52253,-0.042155,"Urban Traffic"
"5551",2019-08-20 06:00:00,"TH2","Tower Hamlets Roadside",16.065,40.73625,16.09017,2.9,265.5,51.52253,-0.042155,"Urban Traffic"
"5552",2019-08-20 07:00:00,"TH2","Tower Hamlets Roadside",24.48,57.94875,21.82775,3.1,272.6,51.52253,-0.042155,"Urban Traffic"
"5553",2019-08-20 08:00:00,"TH2","Tower Hamlets Roadside",44.7525,89.69625,29.31155,3.3,274.1,51.52253,-0.042155,"Urban Traffic"
"5554",2019-08-20 09:00:00,"TH2","Tower Hamlets Roadside",40.73625,80.51625,25.94384,3.9,275.1,51.52253,-0.042155,"Urban Traffic"
"5555",2019-08-20 10:00:00,"TH2","Tower Hamlets Roadside",27.54,57.7575,19.70734,4.4,280.9,51.52253,-0.042155,"Urban Traffic"
"5556",2019-08-20 11:00:00,"TH2","Tower Hamlets Roadside",25.245,48.96,15.46652,4.3,290.4,51.52253,-0.042155,"Urban Traffic"
"5557",2019-08-20 12:00:00,"TH2","Tower Hamlets Roadside",24.28875,53.35875,18.95896,4.1,287,51.52253,-0.042155,"Urban Traffic"
"5558",2019-08-20 13:00:00,"TH2","Tower Hamlets Roadside",25.05375,50.1075,16.33963,3.9,284.6,51.52253,-0.042155,"Urban Traffic"
"5559",2019-08-20 14:00:00,"TH2","Tower Hamlets Roadside",NA,NA,NA,4,285.9,51.52253,-0.042155,"Urban Traffic"
"5560",2019-08-20 15:00:00,"TH2","Tower Hamlets Roadside",23.90625,53.9325,19.58261,3.7,283.8,51.52253,-0.042155,"Urban Traffic"
"5561",2019-08-20 16:00:00,"TH2","Tower Hamlets Roadside",30.2175,60.0525,19.45788,3.5,285.1,51.52253,-0.042155,"Urban Traffic"
"5562",2019-08-20 17:00:00,"TH2","Tower Hamlets Roadside",34.425,68.65875,22.32667,2.6,285.6,51.52253,-0.042155,"Urban Traffic"
"5563",2019-08-20 18:00:00,"TH2","Tower Hamlets Roadside",NA,NA,NA,2.3,268.4,51.52253,-0.042155,"Urban Traffic"
"5564",2019-08-20 19:00:00,"TH2","Tower Hamlets Roadside",40.9275,75.54375,22.57613,2.4,259.4,51.52253,-0.042155,"Urban Traffic"
"5565",2019-08-20 20:00:00,"TH2","Tower Hamlets Roadside",41.6925,79.75125,24.82127,2.4,259.2,51.52253,-0.042155,"Urban Traffic"
"5566",2019-08-20 21:00:00,"TH2","Tower Hamlets Roadside",47.43,74.97,17.96112,2.2,249.2,51.52253,-0.042155,"Urban Traffic"
"5567",2019-08-20 22:00:00,"TH2","Tower Hamlets Roadside",46.2825,70.18875,15.59125,2.2,244.4,51.52253,-0.042155,"Urban Traffic"
"5568",2019-08-20 23:00:00,"TH2","Tower Hamlets Roadside",43.03125,62.73,12.84719,2.2,229.7,51.52253,-0.042155,"Urban Traffic"
