"","date","code","site","no","no2","o3","pm10","nox","pm2.5","ws","wd","latitude","longitude","site_type"
"1",2020-04-14 00:00:00,"BRS8","Bristol St Paul's",0.37419,3.06,65.8581,16.425,3.63375,6,3.7,78.7,51.462839,-2.584482,"Urban Background"
"2",2020-04-14 01:00:00,"BRS8","Bristol St Paul's",0.37419,2.48625,64.86025,12.561,3.06,5,3.1,75.4,51.462839,-2.584482,"Urban Background"
"3",2020-04-14 02:00:00,"BRS8","Bristol St Paul's",0,3.25125,60.66928,17.392,3.25125,7,3.2,71,51.462839,-2.584482,"Urban Background"
"4",2020-04-14 03:00:00,"BRS8","Bristol St Paul's",0.12473,4.2075,57.47616,10.628,4.39875,5,2.3,71.7,51.462839,-2.584482,"Urban Background"
"5",2020-04-14 04:00:00,"BRS8","Bristol St Paul's",0,9.5625,48.89465,13.527,9.5625,5,2.3,62.6,51.462839,-2.584482,"Urban Background"
"6",2020-04-14 05:00:00,"BRS8","Bristol St Paul's",0.49892,23.715,35.52346,16.425,24.48,6,2.7,71.6,51.462839,-2.584482,"Urban Background"
"7",2020-04-14 06:00:00,"BRS8","Bristol St Paul's",5.73758,27.1575,34.32604,17.392,35.955,6,3.4,85,51.462839,-2.584482,"Urban Background"
"8",2020-04-14 07:00:00,"BRS8","Bristol St Paul's",5.48812,22.185,46.69938,18.358,30.6,5,3.6,92.5,51.462839,-2.584482,"Urban Background"
"9",2020-04-14 08:00:00,"BRS8","Bristol St Paul's",1.12257,5.355,74.04047,9.662,7.07625,6,3.9,95.7,51.462839,-2.584482,"Urban Background"
"10",2020-04-14 09:00:00,"BRS8","Bristol St Paul's",0.49892,2.295,82.42241,17.392,3.06,6,3.8,91.9,51.462839,-2.584482,"Urban Background"
"11",2020-04-14 10:00:00,"BRS8","Bristol St Paul's",0.74838,2.48625,83.42026,10.628,3.63375,7,3.8,88,51.462839,-2.584482,"Urban Background"
"12",2020-04-14 11:00:00,"BRS8","Bristol St Paul's",0.99784,2.86875,83.02112,16.425,4.39875,6,3.5,91.8,51.462839,-2.584482,"Urban Background"
"13",2020-04-14 12:00:00,"BRS8","Bristol St Paul's",0.99784,2.6775,85.21639,16.425,4.2075,8,3.1,98.7,51.462839,-2.584482,"Urban Background"
"14",2020-04-14 13:00:00,"BRS8","Bristol St Paul's",0.87311,3.25125,88.01037,17.392,4.59,6,2.8,94.5,51.462839,-2.584482,"Urban Background"
"15",2020-04-14 14:00:00,"BRS8","Bristol St Paul's",1.12257,4.39875,89.00822,16.425,6.12,7,2.7,96.3,51.462839,-2.584482,"Urban Background"
"16",2020-04-14 15:00:00,"BRS8","Bristol St Paul's",0.87311,3.06,93.59833,17.392,4.39875,4,2.6,95.3,51.462839,-2.584482,"Urban Background"
"17",2020-04-14 16:00:00,"BRS8","Bristol St Paul's",0.62365,4.01625,95.19489,10.628,4.9725,12,2.5,95.1,51.462839,-2.584482,"Urban Background"
"18",2020-04-14 17:00:00,"BRS8","Bristol St Paul's",0.37419,4.59,96.79145,11.594,5.16375,8,2.3,93.2,51.462839,-2.584482,"Urban Background"
"19",2020-04-14 18:00:00,"BRS8","Bristol St Paul's",0.49892,7.2675,90.20564,19.324,8.0325,8,2.1,80.7,51.462839,-2.584482,"Urban Background"
"20",2020-04-14 19:00:00,"BRS8","Bristol St Paul's",0.74838,21.61125,71.04692,26.087,22.75875,20,2.5,88,51.462839,-2.584482,"Urban Background"
"21",2020-04-14 20:00:00,"BRS8","Bristol St Paul's",0,28.6875,57.8753,36.716,28.6875,29,2.7,89.2,51.462839,-2.584482,"Urban Background"
"22",2020-04-14 21:00:00,"BRS8","Bristol St Paul's",0,26.01,54.68218,25.121,26.01,24,2.7,102.1,51.462839,-2.584482,"Urban Background"
"23",2020-04-14 22:00:00,"BRS8","Bristol St Paul's",0,23.715,52.28734,21.256,23.715,15,2.3,124.4,51.462839,-2.584482,"Urban Background"
"24",2020-04-14 23:00:00,"BRS8","Bristol St Paul's",0,13.3875,57.27659,NA,13.3875,NA,1.9,102.1,51.462839,-2.584482,"Urban Background"
